id,name,description
1,Alphonso,"Known as the king of mangoes, Alphonso is rich, creamy, and highly aromatic with a sweet taste."
2,Banganapalli,"Large, sweet mango with smooth texture and minimal fiber, popular for fresh consumption."
3,Cheruku Rasam,"Extremely juicy and sweet mango, often used for juices and traditional drinks."
4,Chinna Rasalu,Small-sized mango with intense sweetness and high juice content.
5,Dasheri,"Famous North Indian mango with a strong aroma, fiberless pulp, and rich sweetness."
6,Imam Pasand,"Delicate, sweet mango with a unique flavor and soft flesh, highly prized."
7,Kalepad,Traditional variety known for its balanced sweetness and regional popularity.
8,Kesar,"Bright orange pulp with a saffron-like aroma, very sweet and flavorful."
9,Malgova,"Round, large mango with thick skin and juicy, mildly sweet pulp."
10,Mallika,"Hybrid mango with strong aroma, low fiber, and rich sweetness."
11,Neelam,"Small, aromatic mango that ripens late in the season with a sweet taste."
12,Panduri,Popular regional mango known for its distinct flavor and juicy texture.
13,Pedda Rasalu,"Larger version of Rasalu mango, extremely juicy and ideal for pulp extraction."
14,Sindhura,Bright red-skinned mango with mildly sweet pulp and attractive appearance.
15,Suwarna Rekha,"Golden-yellow mango with red streaks, known for its sweet and tangy flavor."
